artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
Jag Panzer	0.359764	315.05333	0.78792	1	0.041709	-7.641	1	0.05108	74.877	4	metal	
Savatage	0.313282	225.82667	0.925572	2	0.36104	-6.294	0	0.120718	121.489	4	metal	
Ozzy Osbourne	0.471303	289.90667	0.91677	9	0.323439	-3.576	1	0.054926	137.61	4	metal	
Vader	0.495825	252.72	0.964007	1	0.094423	-4.586	1	0.106733	125.034	4	metal	
Death	0.328521	506.81333	0.965037	7	0.074227	-4.086	1	0.147997	95.201	4	metal	
Helloween	0.477592	279.41333	0.870158	0	0.249169	-8.225	1	0.040916	90.998	4	metal	
King Diamond	0.540435	328.58667	0.948463	10	0.24944	-6.03	0	0.048002	107.406	4	metal	
Nevermore	0.480173	305.89333	0.986641	3	0.071626	-4.275	0	0.061296	139.858	4	metal	
King Diamond	0.317961	290.73333	0.937323	4	0.353787	-5.248	1	0.062129	146.75	4	metal	
King Diamond	0.498098	313.05333	0.875898	11	0.068674	-6.94	0	0.046675	102.082	4	metal	
Mortal Sin	0.219039	278.24	0.911908	4	0.047255	-6.756	0	0.289579	170.411	4	metal	
Judas Priest	0.362456	153.84	0.960749	2	0.158994	-5.664	1	0.085706	164.019	4	metal	
Megadeth	0.518604	265.6	0.960543	9	0.059463	-3.719	1	0.11362	144.937	4	metal	
Sabaton	0.458331	217.52	0.924911	4	0.224882	-4.82	0	0.103129	76.994	4	metal	
Black Label Society	0.612051	272.23075	0.790244	7	0.116102	-4.703	1	0.035433	157.203	4	metal	
Fozzy	0.485371	268.24005	0.968324	2	0.440179	-4.226	0	0.173483	103.021	4	metal	
Iron Maiden	0.304645	269.46667	0.974132	2	0.152796	-5.079	1	0.063941	134.32	4	metal	
G//Z/R	0.350642	259.13333	0.970233	7	0.080551	-5.84	1	0.144161	104.895	4	metal	
Bruce Dickinson	0.324197	344.08	0.984528	6	0.884956	-6.993	0	0.179109	116.76	4	metal	
Iron Maiden	0.4532	814.46667	0.93285	4	0.177222	-6.452	0	0.067215	112.967	4	metal	
Queensrche	0.515442	248.72	0.965198	9	0.065413	-4.145	1	0.096309	99.091	4	metal	
Metallica	0.494643	311.21333	0.672916	9	0.077526	-12.215	1	0.057077	117.746	4	metal	
Crimson Glory	0.181139	289.33333	0.4089	8	0.0852	-9.645	0	0.03215	173.32	3	metal	
Voivod	0.353001	364.92	0.89608	9	0.187657	-6.544	1	0.086678	87.717	4	metal	
